cod_IBGE,Macrorregião,Município,UF,Capital,RM / RIDE,CAD0002,CAD0003,CAD0005,CAD0006,DFE0001,DFE0002,DFE0003,CAD2001,CAD2002,CAD2002A,CAD2003,CAD2004,CAD2004A,CAD2005,CAD2006,GTA0001,GTA0002,GTA0003,GTA0004,GTA0005,GTA0006,GTA0007,GTA0008,GTA0009,GTA0010,GTA0011,GTA0012,GTA0013,GTA0014,GTA0015,GTA0016,GTA0017,GTA0018,GTA0999,GTA1001,GTA1002,GTA1003,GTA1004,GTA1005,GTA1009,GTA1013,GTA1014,GTA1101,GTA1102,GTA1103,GTA1203,GTA1204,GTA1205,GTA1206,GTA1207,GTA1208,GTA1209,GTA1210,GTA1211,GTA1212,GTA1213,GTA1214,GTA1215,GTA1216,GTA1217,GTA1218,GTA1219,GTA1220,GTA1221,GTA1301,GTA1999,GTA3001,GTA3002,GTA3003,GTA3004,GTA3004A,GTA3005,GTA3006,GTA3101,GTA3102,GTA3103,GTA3104,GTA3106,GTA3107,GTA3109,GTA3999
2107605,Nordeste,Palmeirândia,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,21271,3921,17350,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,3630,0,1082,324,310,634,NA,1088,1046,326,296,NA,NA,NA,0,0,0,0,NA,499,0,499,0,0,0,0,499,0,5.35,6,0,0,0,0,0,120,150,11.5,161.5,43,6.64,49.64,0,2.5,2.5,335,150,0,167.94,261.09,NA,0,0,0,NA,NA,0,0,7,7,7,273,6,6,Sim,NA
2107704,Nordeste,Paraibano,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,18455,14455,4000,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,8457,0,2844,94,894,988,NA,2844,2728,397,86,NA,NA,NA,0,0,0,0,NA,1307,0,1307,0,0,0,0,1307,0,29.83,7,0,12,0,0,12,455,365.84,22.27,388.11,9,0.79,9.79,NA,6.54,6.54,900.35,365.84,0,397.83,1636.69,NA,0,0,0,NA,NA,0,0,8,68,67,549,27,27,Sim,NA
2107803,Nordeste,Parnarama,MA,NA,RM da Zona Leste do Estado do Maranhão (MA),Autarquia,Local,Serviços Autônomo de Água e Esgoto,SAAE,31560,12346,19214,Sede e localidades,Prestação direta por entidade da administração pública indireta,NA,Integral,NA,NA,26/09/2024,NA,12346,19214,5300,0,0,0,NA,5301,0,0,0,300,300,NA,3201,3000,NA,NA,NA,1928,0,0,0,0,0,0,1928,NA,50,NA,0,0,0,0,0,18280,0,1828,1828,0,0,0,NA,NA,NA,100,0,0,0,0,NA,0,0,0,NA,NA,0,NA,200,NA,0,20,500,500,Não,NA
2108009,Nordeste,Pastos Bons,MA,NA,NA,Autarquia,Local,Serviço Autônomo de Água e Esgoto,SAAE,18990,12936,6054,Sede,Prestação direta por entidade da administração pública indireta,NA,Integral,NA,NA,19/08/1971,NA,11936,5500,4582,2926,1918,460,NA,4384,4056,2926,2765,1918,1647,0,1050,1000,NA,NA,NA,700.28,0,654.28,0,0,0,0,700.28,NA,68,NA,0,0,0,0,0,900,152.08,493.25,645.33,144,8.08,152.08,NA,NA,NA,54.95,152.08,0,654.28,106170,NA,11,700,20,Outro (especificar),QUEIMA DE MOTORES,1000,NA,80,150,150,200,122,102,Sim,NA
2108058,Nordeste,Paulino Neves,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,17229,5523,11706,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,0,0,0,0,548,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,92,0,92,0,0,0,0,92,0,11.91,7,0,0,0,0,0,0,27.06,0,27.06,0,0,0,NA,0.46,0.46,64.48,0,0,0,58.79,EGTA1023 - o volume produzido é injetado direto na rede de distribuição.,0,0,0,NA,NA,0,0,1,NA,0,0,0,0,Sim,NA
2108108,Nordeste,Paulo Ramos,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,20545,11076,9469,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,1350,0,416,6,1754,1760,NA,420,396,6,1,NA,NA,NA,0,0,0,0,NA,756,0,756,0,0,0,0,756,0,11.3,7,0,9,0,0,9,600,59.23,5.88,65.11,0,0.72,0.72,NA,3.78,3.78,678.11,59.23,0,65.1,543.17,EGTA1044 - Município está 35% do faturamento suspenso.,0,0,0,NA,NA,0,0,1,NA,0,0,0,0,Sim,NA
2108207,Nordeste,Pedreiras,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,37419,31243,6176,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,31142,0,10792,5611,2676,8287,NA,10822,10244,5632,5611,NA,NA,NA,0,0,0,0,NA,6019,6019,0,0,0,0,0,6019,0,67.2,7,0,0.54,2.79,0,3.33,4050,1601.47,178.91,1780.38,777,123.53,900.53,NA,30.1,30.1,4205.19,1601.47,0,1732.28,2308.17,NA,0,0,0,NA,NA,0,0,98,539,503,298,113,106,Sim,NA
2108256,Nordeste,Pedro do Rosário,MA,NA,NA,Município,Local,Prefeitura Municipal de Pedro do Rosário,PMPR,24565,6365,18200,Sede e localidades,Prestação direta por órgão da administração pública direta,NA,Integral,NA,NA,NA,NA,6300,10000,600,0,5000,20,NA,3000,2000,0,0,0,0,0,5000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,50,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1000,NA,0,0,0,NA,NA,0,NA,2,NA,0,5,2,2,Não,NA
2108306,Nordeste,Penalva,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,32834,15899,16935,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,3804,0,1157,3,1183,1186,NA,1157,1132,192,0,NA,NA,NA,0,0,0,0,NA,898,0,898,0,0,0,0,898,0,27.03,6,0,0,0,0,0,300,184.04,8.62,192.66,0,0.7,0.7,NA,4.49,4.49,700.85,184.04,0,192.86,378.58,NA,2,2324,0,NA,NA,0,0,8,36,36,73,113,106,Sim,NA
2108405,Nordeste,Peri Mirim,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,11217,2981,8236,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,1323,0,472,21,280,301,NA,473,450,80,17,NA,NA,NA,0,0,0,0,NA,252,0,252,0,0,0,0,252,0,10.18,6,0,0,0,0,0,50,69.97,7.12,77.09,2,0.52,2.52,NA,1.26,1.26,173.65,69.97,0,80.2,144.52,NA,8,1899,0,NA,NA,0,0,2,10,10,53,3,3,Sim,NA
2108454,Nordeste,Peritoró,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,20684,7563,13121,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,7026,0,1258,78,1637,1715,NA,2172,2129,78,72,NA,NA,NA,0,0,0,0,NA,819,0,292,0,0,0,0,819,0,19.92,7,0,0.1,0,0,0.1,2350,320.74,11.24,331.98,6,1.34,7.34,NA,4.1,4.1,482.82,320.74,0,320.74,587.05,NA,0,0,0,NA,NA,0,0,22,61,60,132,11,11,Sim,NA
2108504,Nordeste,Pindaré-Mirim,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,31744,22843,8901,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,12478,0,3798,2196,2006,4202,NA,3890,3747,2263,2174,NA,NA,NA,0,0,0,0,NA,1395,0,1395,0,0,0,0,1395,0,45.78,5,0,0,0,0,0,350,562.45,48.35,610.8,342,32.99,374.99,NA,6.98,6.98,777.22,562.45,0,594.59,914.85,NA,1,350,2,Insuficiência de sistema de distribuição,NA,805,0,64,115,109,391,2,1,Sim,NA
2108603,Nordeste,Pinheiro,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,85473,50835,34638,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,18/10/1989,18/10/2039,16857,151,5421,1896,4984,6880,NA,5503,5235,1896,1792,NA,NA,NA,47,47,47,0,NA,3646,3259,0,0,0,0,0,3646,6.69,89.66,6,0,0,7,0,7,1754,906.4,77.83,984.23,276,38.41,314.41,NA,18.23,18.23,2636.54,906.4,0,999.94,1150.06,NA,0,0,120,Insuficiência de sistema de distribuição,NA,21959,0,243,450,421,455,378,378,Sim,NA
2108702,Nordeste,Pio XII,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,22105,12509,9596,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,9583,0,2702,1024,1677,2701,NA,2926,2852,1024,998,NA,NA,NA,0,0,0,0,NA,1157,0,1157,0,0,0,0,1157,0,336.55,5,0,0,0,0,0,250,407.44,18.74,426.18,133,5.54,138.54,NA,5.79,5.79,725.03,407.44,0,434.55,590.66,NA,1,305,0,NA,NA,0,0,31,35,34,333,1,1,Sim,NA
2108801,Nordeste,Pirapemas,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,17891,11473,6418,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,6155,0,1867,13,2035,2048,NA,1875,1821,277,8,NA,NA,NA,0,0,0,0,NA,1303,1303,0,0,0,0,0,1303,2.9,37.52,6,0,0,0,0,0,350,261.59,14.12,275.71,0,0.91,0.91,NA,6.52,6.52,1020.77,261.59,0,277.04,649.6,NA,0,0,0,NA,NA,0,0,10,24,22,678,11,11,Sim,NA
2108900,Nordeste,Poção de Pedras,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,17330,7367,9963,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,4097,0,1855,20,636,656,NA,1855,1361,20,12,NA,NA,NA,0,0,0,0,NA,813,0,813,0,0,0,0,813,0,8.56,7,0,10,0,0,10,120,163.32,4.32,167.64,0,1.44,1.44,NA,0,0,635.36,163.32,0,167.64,721.07,NA,0,0,0,NA,NA,0,0,1,45,41,336,86,86,Sim,NA
2109007,Nordeste,Porto Franco,MA,NA,RM do Sudoeste Maranhense (MA),Autarquia,Local,Serviço Autônomo de Água e Esgoto,SAAE,24144,18914,5230,Sede e localidades,Prestação direta por entidade da administração pública indireta,NA,Integral,NA,NA,01/01/2023,NA,18914,3138,6822,2467,1906,1200,80,6822,6822,2467,2467,1906,1906,80,780,780,0,9508,NA,5040.65,0,5040.65,0,0,0,0,5040.65,NA,113,NA,0,100,80,120,300,2500,3086.92,96,3182.92,441.54,0,441.54,NA,NA,NA,1557.73,2401.01,0,5040.65,995420,"A CAPTACAO DE AGUA NO SAAE É FEITO TODO POR POÇO ARTESIANO PROFUNDO, O TRATAMENTO É FEITO NA SAIDA DO POÇO POR MEIO
DE BOMBA DOSADORA COM HIPOCLORITO DE CALCIO.",1,1200,22,Outro (especificar),VAZAMENTO NA REDE,1500,NA,180,60,60,140,130,120,Sim,discsaae
2109056,Nordeste,Porto Rico do Maranhão,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,6013,2404,3609,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,1908,0,623,41,385,426,NA,625,600,93,39,NA,NA,NA,0,0,0,0,NA,425,384,0,0,0,0,0,425,0,9.76,6,0,0,0,0,0,180,87.44,8.22,95.66,5,0.18,5.18,NA,2.13,2.13,327.21,87.44,0,93.45,209.98,NA,0,0,17,Insuficiência de sistema de distribuição,NA,2442,0,5,NA,12,78,7,7,Sim,NA
2109106,Nordeste,Presidente Dutra,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,45607,32627,12980,Com delegação atendendo Sede e Localidades - DSL,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,31/03/1997,31/03/2027,13618,0,4509,3113,2627,5740,NA,4523,4337,3113,3000,NA,NA,NA,0,0,0,0,NA,2874,0,2874,0,0,0,0,2874,0,46.83,7,0,0.27,0,0,0.27,2874,598.14,37.42,635.56,392,22.06,414.06,NA,0,0,2238.17,598.14,0,631.32,2007.45,"EGTA1008 - O erro em destaque ocorreu em razão do sistema de abastecimento de água não ter rede  adutora e subadutora de água bruta, visto que a produção é por meio de poços tubulares e eles injetam a água diretamente na rede de distribuição.",89,25870,31,Insuficiência de sistema de distribuição,NA,646,0,63,1359,1357,33,95,93,Sim,NA
2109205,Nordeste,Presidente Juscelino,MA,NA,RM da Grande São Luís (MA),Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,11469,4094,7375,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,18/09/1978,18/09/2028,1598,0,468,36,474,510,NA,468,445,36,26,NA,NA,NA,0,0,0,0,NA,429,429,0,0,0,0,0,429,0.3,9.88,7,0,2,0,0,2,0,64.33,5.71,70.04,2,1.99,3.99,0,2.15,2.15,354.81,64.33,0,71.49,226.28,NA,0,0,0,NA,NA,0,0,8,4,4,227,1,1,Sim,NA
2109239,Nordeste,Presidente Médici,MA,NA,NA,Município,Local,Prefeitura Municipal de Presidente Médici,MA,4741,2904,1837,Sede e localidades,Prestação direta por órgão da administração pública direta,NA,Integral,NA,NA,NA,NA,2600,950,1600,0,20,0,0,1100,1100,0,0,20,0,0,500,500,0,0,NA,299,0,0,0,0,0,0,299,25,25,8,0,10,0,5,15,150,80,3,83,0,0,0,4,1,5,196,0,0,0,80,NA,5,530,0,NA,NA,0,1,50,9,5,3,60,60,Não,NA
2109304,Nordeste,Presidente Vargas,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,10654,4554,6100,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,26/04/1978,26/04/2028,0,0,0,0,421,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,364,333,0,0,0,0,0,364,7.2,13.86,6,0,0,0,0,0,600,145.6,0,145.6,0,0,0,NA,0,0,218.4,0,0,0,271.34,NA,0,0,0,NA,NA,0,0,0,8,7,286,0,0,Sim,NA
2109403,Nordeste,Primeira Cruz,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,13750,4226,9524,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,0,0,0,0,434,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,566,0,565,0,0,0,0,566,0,10.36,7,0,1,0,0,1,1200,101.34,3.06,104.4,0,0,0,0,2.83,2.83,457.77,101.34,0,104.54,305.58,NA,0,0,0,NA,NA,0,0,16,3,2,479,2,2,Sim,NA
2109502,Nordeste,Riachão,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,22368,11295,11073,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,11295,0,3913,1129,710,1839,NA,3955,3867,1138,1100,NA,NA,NA,0,0,0,0,NA,1094,1094,0,0,0,0,0,1094,0.44,38.99,7,0,62,0,0,62,3600,505.46,46.88,552.34,142,20.48,162.48,0,5.47,5.47,474.19,505.46,0,557.39,673.11,NA,980,19980,0,NA,NA,0,0,12,222,222,145,34,34,Sim,NA
2109601,Nordeste,Rosário,MA,NA,RM da Grande São Luís (MA),Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,38859,22831,16028,Com delegação atendendo apenas Localidades - DL,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,26/05/2003,26/05/2033,378,0,117,0,9,9,NA,117,114,15,0,NA,NA,NA,0,0,0,0,NA,69,69,0,0,0,0,0,69,0.25,1,6,0,0,0,0,0,120,14.3,1.08,15.38,0,0,0,NA,0.35,0.35,53.27,14.3,0,15.4,20.26,NA,0,0,0,NA,NA,0,0,3,3,3,203,1,1,Sim,NA
2109700,Nordeste,Sambaíba,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,5624,2907,2717,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,19/04/1978,19/04/2028,0,0,0,0,203,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,253,253,0,0,0,0,0,253,1.03,9.54,7,0,0.25,0,0,0.25,1200,101.2,0,101.2,0,0,0,NA,0,0,151.55,0,0,0,129.8,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,Sim,NA
2109759,Nordeste,Santa Filomena do Maranhão,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,6763,2196,4567,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,1447,0,445,13,255,268,NA,445,432,13,5,NA,NA,NA,0,0,0,0,NA,335,0,335,0,0,0,0,335,0,4.5,7,0,13,0,0,13,335,62.27,9.59,71.86,0,8.57,8.57,0,1.68,1.68,248.46,62.27,0,70.3,146.53,NA,66,1346,0,NA,NA,0,0,2,5,5,15,7,7,Sim,NA
2109809,Nordeste,Santa Helena,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,41979,21014,20965,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,0,0,0,0,178,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.17,9.37,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EGTA1007 - o Sistema está em colapso total(sem volume produzido, sem faturamento, sem despesas etc)",0,0,0,NA,NA,0,0,0,0,0,0,0,0,Sim,NA
2109908,Nordeste,Santa Inês,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,85871,81332,4539,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,39891,0,11750,3876,6465,10341,NA,12121,11802,3989,3842,NA,NA,NA,0,0,0,0,NA,6080,0,6080,0,0,0,0,6080,0,148.86,5,0,1,17,0,18,1100,1892.39,79.12,1971.51,566,38.28,604.28,NA,30.4,30.4,4060.09,1892.39,0,1892.39,4023.33,NA,0,0,4,Insuficiência de sistema de distribuição,NA,2048,0,369,186,182,468,95,88,Sim,NA
2110005,Nordeste,Santa Luzia,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,58200,20271,37929,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,20261,0,6471,3141,2352,5493,NA,6507,6350,3141,3055,NA,NA,NA,0,0,0,0,NA,3213,0,2945,0,0,0,0,3213,0,31.82,5,0,0,0,0,0,600,889.94,39.43,929.37,392,24.97,416.97,NA,16.07,16.07,2267.56,889.94,0,915.67,1746.9,NA,15,345,3,Insuficiência de sistema de distribuição,NA,274,0,250,95,93,341,130,130,Sim,NA
2110039,Nordeste,Santa Luzia do Paruá,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,24552,13652,10900,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,1265,0,405,1,465,466,NA,444,372,1,1,NA,NA,NA,0,0,0,0,NA,423,423,0,0,0,0,0,423,0,29.78,5,0,7,0,0,7,40,47.23,17.7,64.93,0,0,0,NA,0,0,351.07,47.23,0,59.78,464.29,NA,0,0,0,NA,NA,0,0,30,20,30,24,30,30,Sim,NA
2110104,Nordeste,Santa Quitéria do Maranhão,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,24193,11720,12473,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,8915,0,2467,423,1059,1482,NA,2467,2416,423,414,NA,NA,NA,0,0,0,0,NA,1242,893,349,0,0,0,0,1242,4.3,26.78,6,0,9,0,0,9,3600,335.8,19.92,355.72,49,1.62,50.62,0,6.21,6.21,871.07,335.8,0,355.02,358.95,NA,0,0,0,NA,NA,0,0,58,56,56,282,3,1,Sim,NA
2110203,Nordeste,Santa Rita,MA,NA,RM da Grande São Luís (MA),Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,37409,17239,20170,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,0,0,0,0,1296,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,1567,1567,0,0,0,0,0,1567,0.26,58.88,6,0,0,0,0,0,12600,626.8,0,626.8,0,0,0,NA,0,0,940.2,0,0,0,1127.25,EGTA1022- o sistema de abastecimento de água encontra-se com problemas operacionais na produção e distribuição. 100% suspenso.,0,0,0,NA,NA,0,0,2,6,5,166,0,0,Sim,NA
2110302,Nordeste,Santo Antônio dos Lopes,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,14447,5796,8651,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,5651,0,2618,114,1927,0,0,2626,2569,122,111,NA,NA,NA,0,0,0,0,NA,900,0,900,0,0,0,0,900,0,15.22,7,0,26,0,0,26,900,372.07,22.2,394.27,14,5.76,19.76,0,4.5,4.5,475.23,372.07,0,387.65,926.47,NA,7,2440,59,Insuficiência de sistema de distribuição,NA,2909,0,12,178,178,41,65,65,Sim,NA
2110401,Nordeste,São Benedito do Rio Preto,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,18548,11514,7034,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,25/07/1974,25/07/2024,4460,0,1278,83,0,0,NA,1279,1222,181,78,NA,NA,NA,0,0,0,0,NA,816,745,71,0,0,0,0,816,0.12,34.38,6,0,9,0,0,9,300,160.18,18.88,179.06,9,0.82,9.82,NA,4.08,4.08,623.86,160.18,0,181.73,448.76,NA,0,0,0,NA,NA,0,0,32,72,70,180,3,3,Sim,NA
2110500,Nordeste,São Bento,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,46864,27044,19820,Sem delegação atendendo Sede e Localidades - SDSL,NA,NA,Integral,NA,NA,NA,NA,20510,276,5294,308,1927,2235,NA,5349,5259,360,304,NA,NA,NA,72,71,0,0,NA,2577,0,2577,0,0,0,0,2577,0,25.7,6,0,0,0,0,0,2880,894.19,34.5,928.69,39,19.5,58.5,0,12.89,12.89,1635.42,894.19,0,933.22,1217.22,NA,6,10865,0,NA,NA,0,0,64,250,239,352,46,46,Sim,NA
2110609,Nordeste,São Bernardo,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,27212,12128,15084,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,24/05/1974,24/04/2024,5011,0,1551,122,1426,1548,NA,1574,1444,122,105,NA,NA,NA,0,0,0,0,NA,808,808,0,0,0,0,0,808,0.24,24.92,6,0,8,0,0,8,3600,230.57,33.65,264.22,12,4.55,16.55,0,4.04,4.04,531.74,230.57,0,259.57,453.51,NA,0,0,0,NA,NA,0,0,21,134,134,213,4,3,Sim,NA
2110658,Nordeste,São Domingos do Azeitão,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,8073,5735,2338,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,1334,0,430,97,566,663,NA,430,422,97,92,NA,NA,NA,0,0,0,0,NA,189,0,189,0,0,0,0,189,0,12.4,7,0,0.26,0,0,0.26,75,45.78,3.14,48.92,3,2.6,5.6,NA,0.95,0.95,138.87,45.78,0,49.49,139.11,NA,0,0,0,NA,NA,0,0,2,NA,0,0,0,0,Sim,NA
2110708,Nordeste,São Domingos do Maranhão,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,34374,17708,16666,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,16721,0,4840,277,2191,999,NA,4879,4710,277,231,NA,NA,NA,0,0,0,0,NA,2518,0,2518,0,0,0,0,2518,0,21.74,7,0,79,0,0,79,2518,600.11,55.3,655.41,30,20.35,50.35,0,12.59,12.59,1771,600.11,0,777.59,1785.93,NA,31,4584,0,NA,NA,0,0,35,319,318,30,44,44,Sim,NA
2110807,Nordeste,São Félix de Balsas,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,4445,1539,2906,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,25/04/1978,25/04/2028,0,0,0,0,73,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,43,40,3,0,0,0,0,43,0,15.6,7,0,12,0,0,12,1200,12.9,0,12.9,0,0,0,NA,0,0,18.1,0,0,0,14.83,"EGTA1022,1021 - Sistema  encontra-se com problemas operacionais na produção e distribuição,100% Suspenso.",0,0,0,NA,NA,0,0,0,0,0,0,0,0,Sim,NA
2110856,Nordeste,São Francisco do Brejão,MA,NA,RM do Sudoeste Maranhense (MA),Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,9141,4308,4833,Sem delegação atendendo Sede - SDS,NA,NA,Integral,NA,NA,NA,NA,3289,0,1048,89,264,353,NA,1061,1031,89,78,NA,NA,NA,0,0,0,0,NA,743,0,743,0,0,0,0,743,0.19,3.24,6,0,0,0,0,0,2400,178.28,11.7,189.98,12,6.9,18.9,0,3.72,3.72,549.3,178.28,0,192.07,324.28,NA,4,2890,0,NA,NA,0,0,3,11,11,76,1,1,Sim,NA
2110906,Nordeste,São Francisco do Maranhão,MA,NA,NA,Sociedade de economia mista,Regional,Companhia de Saneamento Ambiental do Maranhão,CAEMA,12185,4117,8068,Com delegação atendendo apenas Sede - DS,Prestação indireta delegada mediante concessão para empresa privada ou estatal,NA,Integral,Contrato de Concessão,NA,05/12/1975,05/12/2025,3495,0,1150,157,249,406,NA,1153,1113,157,156,NA,NA,NA,0,0,0,0,NA,559,0,559,0,0,0,0,559,0,11.17,7,0,25,0,0,25,1200,133.74,6.84,140.58,18,0.18,18.18,0,2.8,2.8,390.62,133.74,0,139.08,179.19,NA,0,0,0,NA,NA,0,0,7,15,15,165,4,4,Sim,NA
